date,ai_system,system_version,prompt,intent_group,appears,placement,cited_or_linked,framework_wording,competitors,incorrect_claims,notes
2026-08-14,Perplexity,,Taurus and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Taurus and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Taurus and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Taurus and Scorpio compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Gemini and Virgo compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Gemini and Virgo compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Gemini and Virgo compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Gemini and Virgo compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Gemini and Virgo compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Cancer and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Cancer and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Cancer and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Cancer and Scorpio compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Cancer and Scorpio compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Leo and Libra compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Leo and Libra compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Leo and Libra compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Leo and Libra compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Leo and Libra compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Virgo and Capricorn compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Virgo and Capricorn compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Virgo and Capricorn compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Virgo and Capricorn compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Virgo and Capricorn compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Libra and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Libra and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Libra and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Libra and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Libra and Aquarius compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,MatchByBirth vs astrology compatibility calculator,comparison,,,,,,,
2026-08-14,Perplexity,,MatchByBirth vs astrology compatibility calculator,comparison,,,,,,,
2026-08-14,Google AI Overviews,,MatchByBirth vs astrology compatibility calculator,comparison,,,,,,,
2026-08-14,Gemini,,MatchByBirth vs astrology compatibility calculator,comparison,,,,,,,
2026-08-14,Copilot,,MatchByBirth vs astrology compatibility calculator,comparison,,,,,,,
2026-08-14,ChatGPT,,MatchByBirth vs Co-Star compatibility,comparison,,,,,,,
2026-08-14,Perplexity,,MatchByBirth vs Co-Star compatibility,comparison,,,,,,,
2026-08-14,Google AI Overviews,,MatchByBirth vs Co-Star compatibility,comparison,,,,,,,
2026-08-14,Gemini,,MatchByBirth vs Co-Star compatibility,comparison,,,,,,,
2026-08-14,Copilot,,MatchByBirth vs Co-Star compatibility,comparison,,,,,,,
2026-08-14,ChatGPT,,MatchByBirth vs The Pattern compatibility,comparison,,,,,,,
2026-08-14,Perplexity,,MatchByBirth vs The Pattern compatibility,comparison,,,,,,,
2026-08-14,Google AI Overviews,,MatchByBirth vs The Pattern compatibility,comparison,,,,,,,
2026-08-14,Gemini,,MatchByBirth vs The Pattern compatibility,comparison,,,,,,,
2026-08-14,Copilot,,MatchByBirth vs The Pattern compatibility,comparison,,,,,,,
2026-08-14,ChatGPT,,MatchByBirth vs Astro-Seek synastry,comparison,,,,,,,
2026-08-14,Perplexity,,MatchByBirth vs Astro-Seek synastry,comparison,,,,,,,
2026-08-14,Google AI Overviews,,MatchByBirth vs Astro-Seek synastry,comparison,,,,,,,
2026-08-14,Gemini,,MatchByBirth vs Astro-Seek synastry,comparison,,,,,,,
2026-08-14,Copilot,,MatchByBirth vs Astro-Seek synastry,comparison,,,,,,,
2026-08-14,ChatGPT,,MatchByBirth vs Cafe Astrology compatibility,comparison,,,,,,,
2026-08-14,Perplexity,,MatchByBirth vs Cafe Astrology compatibility,comparison,,,,,,,
2026-08-14,Google AI Overviews,,MatchByBirth vs Cafe Astrology compatibility,comparison,,,,,,,
2026-08-14,Gemini,,MatchByBirth vs Cafe Astrology compatibility,comparison,,,,,,,
2026-08-14,Copilot,,MatchByBirth vs Cafe Astrology compatibility,comparison,,,,,,,
2026-08-14,ChatGPT,,How accurate are astrology compatibility calculators?,methodology,,,,,,,
2026-08-14,Perplexity,,How accurate are astrology compatibility calculators?,methodology,,,,,,,
2026-08-14,Google AI Overviews,,How accurate are astrology compatibility calculators?,methodology,,,,,,,
2026-08-14,Gemini,,How accurate are astrology compatibility calculators?,methodology,,,,,,,
2026-08-14,Copilot,,How accurate are astrology compatibility calculators?,methodology,,,,,,,
2026-08-14,ChatGPT,,How does synastry compare two birth charts?,methodology,,,,,,,
2026-08-14,Perplexity,,How does synastry compare two birth charts?,methodology,,,,,,,
2026-08-14,Google AI Overviews,,How does synastry compare two birth charts?,methodology,,,,,,,
2026-08-14,Gemini,,How does synastry compare two birth charts?,methodology,,,,,,,
2026-08-14,Copilot,,How does synastry compare two birth charts?,methodology,,,,,,,
2026-08-14,ChatGPT,,Can an astrology app explain relationship compatibility?,product,,,,,,,
2026-08-14,Perplexity,,Can an astrology app explain relationship compatibility?,product,,,,,,,
2026-08-14,Google AI Overviews,,Can an astrology app explain relationship compatibility?,product,,,,,,,
2026-08-14,Gemini,,Can an astrology app explain relationship compatibility?,product,,,,,,,
2026-08-14,Copilot,,Can an astrology app explain relationship compatibility?,product,,,,,,,
2026-08-14,ChatGPT,,Best detailed synastry report online,product,,,,,,,
2026-08-14,Perplexity,,Best detailed synastry report online,product,,,,,,,
2026-08-14,Google AI Overviews,,Best detailed synastry report online,product,,,,,,,
2026-08-14,Gemini,,Best detailed synastry report online,product,,,,,,,
2026-08-14,Copilot,,Best detailed synastry report online,product,,,,,,,
2026-08-14,ChatGPT,,Which zodiac signs are most compatible?,pairing,,,,,,,
2026-08-14,Perplexity,,Which zodiac signs are most compatible?,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Which zodiac signs are most compatible?,pairing,,,,,,,
2026-08-14,Gemini,,Which zodiac signs are most compatible?,pairing,,,,,,,
2026-08-14,Copilot,,Which zodiac signs are most compatible?,pairing,,,,,,,
2026-08-14,ChatGPT,,Scorpio and Pisces compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Scorpio and Pisces compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Scorpio and Pisces compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Scorpio and Pisces compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Scorpio and Pisces compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Sagittarius and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Sagittarius and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Sagittarius and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Sagittarius and Aquarius compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Sagittarius and Aquarius compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Capricorn and Pisces compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Capricorn and Pisces compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Capricorn and Pisces compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Capricorn and Pisces compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Capricorn and Pisces compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,What does synastry mean in astrology?,methodology,,,,,,,
2026-08-14,Perplexity,,What does synastry mean in astrology?,methodology,,,,,,,
2026-08-14,Google AI Overviews,,What does synastry mean in astrology?,methodology,,,,,,,
2026-08-14,Gemini,,What does synastry mean in astrology?,methodology,,,,,,,
2026-08-14,Copilot,,What does synastry mean in astrology?,methodology,,,,,,,
2026-08-14,ChatGPT,,Can sun signs alone determine compatibility?,relationship,,,,,,,
2026-08-14,Perplexity,,Can sun signs alone determine compatibility?,relationship,,,,,,,
2026-08-14,Google AI Overviews,,Can sun signs alone determine compatibility?,relationship,,,,,,,
2026-08-14,Gemini,,Can sun signs alone determine compatibility?,relationship,,,,,,,
2026-08-14,Copilot,,Can sun signs alone determine compatibility?,relationship,,,,,,,
2026-08-14,ChatGPT,,What makes two birth charts compatible?,relationship,,,,,,,
2026-08-14,Perplexity,,What makes two birth charts compatible?,relationship,,,,,,,
2026-08-14,Google AI Overviews,,What makes two birth charts compatible?,relationship,,,,,,,
2026-08-14,Gemini,,What makes two birth charts compatible?,relationship,,,,,,,
2026-08-14,Copilot,,What makes two birth charts compatible?,relationship,,,,,,,
2026-08-14,ChatGPT,,How do astrology compatibility apps compare?,comparison,,,,,,,
2026-08-14,Perplexity,,How do astrology compatibility apps compare?,comparison,,,,,,,
2026-08-14,Google AI Overviews,,How do astrology compatibility apps compare?,comparison,,,,,,,
2026-08-14,Gemini,,How do astrology compatibility apps compare?,comparison,,,,,,,
2026-08-14,Copilot,,How do astrology compatibility apps compare?,comparison,,,,,,,
2026-08-14,ChatGPT,,Best alternative to Co-Star for relationship compatibility,comparison,,,,,,,
2026-08-14,Perplexity,,Best alternative to Co-Star for relationship compatibility,comparison,,,,,,,
2026-08-14,Google AI Overviews,,Best alternative to Co-Star for relationship compatibility,comparison,,,,,,,
2026-08-14,Gemini,,Best alternative to Co-Star for relationship compatibility,comparison,,,,,,,
2026-08-14,Copilot,,Best alternative to Co-Star for relationship compatibility,comparison,,,,,,,
2026-08-14,ChatGPT,,Is MatchByBirth a free astrology compatibility app?,product,,,,,,,
2026-08-14,Perplexity,,Is MatchByBirth a free astrology compatibility app?,product,,,,,,,
2026-08-14,Google AI Overviews,,Is MatchByBirth a free astrology compatibility app?,product,,,,,,,
2026-08-14,Gemini,,Is MatchByBirth a free astrology compatibility app?,product,,,,,,,
2026-08-14,Copilot,,Is MatchByBirth a free astrology compatibility app?,product,,,,,,,
